	data_collection_round	Marital status - Head of Household	single_headed_household	Number household member boy under5 years old	Number household member _girl_under5 years old	Number household member boy_5_17 years old	household_girl_5_17	number adult household members years old	Total household number	diarrhea_under_5	house_type	Households use bottled water as drinking water source	Household treating water	Improvedsanitationfacility	Mentionedafterdefecating	Mentionedbeforeeating	Mentionedbeforeeatingafterdefecating	Mentionedbeforefeedingchild	handwashingfull	Household praticing open defecation	Frequency respondant report handwhashing a day	Improved water source
18	Baseline	Married	No	0	0	0	1	2	3	No	Timber frame	Bottled water	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
19	Baseline	Married	No	0	0	0	0	2	2	No	Timber frame	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
20	Baseline	Married	No	0	0	1	2	2	5	No	Hut	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	Yes	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
21	Baseline	Married	No	1	1	1	2	2	7	No	Timber frame	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water without Soap	No open defecation	5 - 6 times	Improved water source
22	Baseline	Married	No	0	0	0	0	2	2	No	Makeshift shelter	Other source	No	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	7 times and more	Improved water source
23	Baseline	Married	No	0	1	1	2	4	8	Yes	Hut	Other source	No	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	5 - 6 times	Improved water source
24	Baseline	Married	No	1	0	2	2	2	7	No	Hut	Bottled water	No	Improved toilet facility	No	No	No	No	Handwashing facility without Water and Soap	No open defecation	7 times and more	Improved water source
25	Baseline	Married	No	1	1	0	1	2	5	Yes	Timber frame	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
26	Baseline	Married	No	0	0	2	0	2	4	No	Timber frame	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
27	Baseline	Married	No	2	0	0	0	3	5	No	Timber frame	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water without Soap	No open defecation	7 times and more	Improved water source
28	Baseline	Married	No	0	0	1	1	3	5	No	Timber and concrete	Other source	No	Improved toilet facility	Yes	No	No	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
29	Baseline	Married	No	2	0	0	0	2	4	No	Hut	Other source	Yes	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	3 - 4 times	Improved water source
30	Baseline	Married	No	0	1	1	1	2	5	No	Timber frame	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	5 - 6 times	Improved water source
31	Baseline	Married	No	0	0	2	1	2	5	No	Hut	Other source	Yes	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	5 - 6 times	Improved water source
32	Baseline	Married	No	0	0	2	1	2	5	No	Timber frame	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility without Water and Soap	No open defecation	7 times and more	Improved water source
33	Baseline	Divorced	Yes	0	0	0	0	1	1	No	Timber frame	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
34	Baseline	Married	No	1	0	3	1	2	7	No	Makeshift shelter	Other source	No	Improved toilet facility	Yes	No	No	Yes	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
35	Baseline	Married	No	1	0	0	1	5	7	No	Timber and concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
36	Baseline	Married	No	0	0	2	1	2	5	No	Timber frame	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	No Handwashing facility	No open defecation	3 - 4 times	Improved water source
37	Baseline	Married	No	1	0	0	1	2	4	No	Timber frame	Other source	No	Improved toilet facility	Yes	Yes	Yes	Yes	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
38	Baseline	Married	No	1	0	0	0	2	3	No	Hut	Other source	No	Unimproved toilet facility	No	Yes	No	No	Handwashing facility with Water without Soap	Open defecation	3 - 4 times	Improved water source
39	Baseline	Married	No	0	0	1	2	2	5	No	Hut	Other source	Yes	Unimproved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	Open defecation	7 times and more	Improved water source
40	Baseline	Married	No	0	0	2	1	1	4	No	Timber frame	Other source	No	Unimproved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
41	Baseline	Married	No	0	1	1	1	1	4	No	Timber frame	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
42	Baseline	Married	No	1	2	1	0	2	6	No	Timber frame	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	7 times and more	Improved water source
43	Baseline	Married	No	0	0	0	0	1	1	No	Timber frame	Bottled water	No	Improved toilet facility	Yes	No	No	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
44	Baseline	Married	No	1	0	1	0	2	4	No	Makeshift shelter	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
45	Baseline	Married	No	0	0	1	0	4	5	No	Concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
46	Baseline	Married	No	0	0	2	1	2	5	No	Timber and concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
47	Baseline	Married	No	2	0	0	0	2	4	No	Timber frame	Other source	Yes	Improved toilet facility	No	Yes	No	Yes	Handwashing facility with Water & Soap	Open defecation	3 - 4 times	Improved water source
48	Baseline	Married	No	0	0	1	0	2	3	No	Timber and concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
49	Baseline	Married	No	0	0	0	4	2	6	No	Hut	Other source	No	Unimproved toilet facility	No	Yes	No	No	No Handwashing facility	Open defecation	3 - 4 times	Improved water source
50	Baseline	Married	No	0	0	1	1	3	5	No	Timber frame	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
51	Baseline	Married	No	0	0	0	0	2	2	No	Timber frame	Other source	Yes	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
52	Baseline	Married	No	0	0	1	0	2	3	No	Timber frame	Other source	Yes	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water without Soap	No open defecation	3 - 4 times	Improved water source
53	Baseline	Married	No	1	0	0	1	2	4	No	Hut	Other source	Yes	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
54	Baseline	Married	No	1	0	1	0	2	4	No	Hut	Other source	No	Unimproved toilet facility	No	Yes	No	No	No Handwashing facility	Open defecation	3 - 4 times	Improved water source
55	Baseline	Married	No	0	0	2	1	2	5	No	Hut	Other source	Yes	Unimproved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	Open defecation	7 times and more	Improved water source
56	Baseline	Married	No	1	1	0	0	3	5	No	Timber frame	Other source	Yes	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	5 - 6 times	Improved water source
57	Baseline	Married	No	0	0	2	0	3	5	No	Timber and concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
58	Baseline	Married	No	1	2	1	1	3	8	No	Timber frame	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	Yes	Handwashing facility with Water & Soap	Open defecation	3 - 4 times	Improved water source
59	Baseline	Married	No	2	1	0	1	2	6	No	Timber frame	Other source	No	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
60	Baseline	Married	No	2	0	2	1	4	9	No	Timber frame	Other source	Yes	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
61	Baseline	Married	No	0	0	1	3	2	6	No	Timber frame	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
62	Baseline	Married	Yes	0	0	0	0	1	1	No	Timber frame	Other source	No	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	3 - 4 times	Improved water source
63	Baseline	Married	No	0	0	0	0	2	2	No	Timber frame	Other source	No	Improved toilet facility	No	Yes	No	No	No Handwashing facility	No open defecation	3 - 4 times	Unimproved water source
64	Baseline	Married	No	1	1	0	0	2	4	No	Timber frame	Other source	No	Improved toilet facility	No	Yes	No	Yes	Handwashing facility with Water & Soap	No open defecation	7 times and more	Unimproved water source
65	Baseline	Married	No	2	0	1	1	2	6	No	Timber frame	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water without Soap	Open defecation	3 - 4 times	Improved water source
66	Baseline	Married	No	0	0	1	1	2	4	No	Timber frame	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Unimproved water source
67	Baseline	Married	No	0	0	0	0	2	2	No	Hut	Other source	No	Unimproved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	Open defecation	5 - 6 times	Improved water source
68	Baseline	Married	No	1	1	1	0	4	7	No	Hut	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
69	Baseline	Married	No	0	0	1	1	2	4	No	Timber frame	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
70	Baseline	Married	No	2	1	0	0	2	5	No	Concrete	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
71	Baseline	Married	No	0	0	0	0	2	2	No	Timber frame	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water without Soap	No open defecation	7 times and more	Unimproved water source
72	Baseline	Married	No	0	0	1	0	4	5	No	Makeshift shelter	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
73	Baseline	Married	No	0	1	1	0	3	5	No	Timber frame	Other source	Yes	Improved toilet facility	No	No	No	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
74	Baseline	Married	No	0	0	2	3	3	8	No	Timber frame	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
75	Baseline	Married	No	0	1	2	3	2	8	No	Makeshift shelter	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water without Soap	No open defecation	5 - 6 times	Improved water source
76	Baseline	Married	No	0	0	1	1	3	5	No	Timber frame	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water without Soap	No open defecation	3 - 4 times	Improved water source
77	Baseline	Married	No	0	0	0	0	4	4	No	Timber frame	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
78	Baseline	Married	No	0	0	0	0	3	3	No	Timber frame	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
79	Baseline	Married	No	1	1	0	0	2	4	No	Hut	Other source	No	Unimproved toilet facility	Yes	Yes	Yes	Yes	Handwashing facility without Water and Soap	No open defecation	5 - 6 times	Improved water source
80	Baseline	Married	No	0	1	1	0	1	3	Yes	Timber frame	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
81	Baseline	Married	No	2	0	2	3	2	9	No	Timber frame	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility without Water and Soap	Open defecation	7 times and more	Improved water source
82	Baseline	Married	No	0	0	0	0	3	3	No	Timber frame	Other source	No	Improved toilet facility	No	No	No	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
83	Baseline	Married	No	0	0	1	0	3	4	No	Timber and concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
84	Baseline	Married	No	1	0	0	1	3	5	No	Timber frame	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
85	Baseline	Married	No	0	2	2	0	2	6	No	Timber frame	Other source	No	Improved toilet facility	Yes	Yes	Yes	Yes	Handwashing facility with Water without Soap	No open defecation	7 times and more	Improved water source
86	Baseline	Married	No	0	0	2	2	3	7	No	Timber and concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility without Water and Soap	No open defecation	3 - 4 times	Improved water source
87	Baseline	Married	No	0	0	0	0	1	1	No	Timber and concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
88	Baseline	Married	No	1	0	3	0	3	7	No	Timber frame	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
89	Baseline	Married	No	0	0	3	0	2	5	No	Concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	No Handwashing facility	No open defecation	7 times and more	Improved water source
90	Baseline	Married	No	0	0	0	0	3	3	No	Timber frame	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	No Handwashing facility	No open defecation	7 times and more	Improved water source
91	Baseline	Married	No	1	0	1	1	4	7	No	Timber frame	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
92	Baseline	Married	No	0	0	1	1	4	6	No	Hut	Other source	Yes	Improved toilet facility	No	No	No	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
93	Baseline	Married	No	0	0	0	1	3	4	No	Timber and concrete	Other source	No	Improved toilet facility	No	Yes	No	No	No Handwashing facility	No open defecation	3 - 4 times	Improved water source
94	Baseline	Married	No	0	0	0	0	3	3	No	Concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
95	Baseline	Married	No	0	0	0	0	4	4	No	Concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	No Handwashing facility	No open defecation	7 times and more	Improved water source
96	Baseline	Married	No	1	2	0	0	4	7	No	Concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	Yes	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
97	Baseline	Married	No	0	0	0	1	2	3	No	Timber and concrete	Other source	No	Improved toilet facility	No	Yes	No	No	No Handwashing facility	No open defecation	3 - 4 times	Improved water source
98	Baseline	Married	No	1	0	0	0	3	4	No	Timber and concrete	Other source	Yes	Improved toilet facility	No	Yes	No	Yes	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
99	Baseline	Married	No	0	0	1	1	4	6	No	Concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
100	Baseline	Married	No	0	1	2	0	2	5	No	Timber frame	Other source	No	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
101	Baseline	Married	No	0	0	0	1	2	3	No	Concrete	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Unimproved water source
102	Baseline	Married	No	0	0	2	1	3	6	No	Concrete	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
103	Baseline	Widowed	Yes	0	1	0	1	4	6	No	Timber frame	Other source	No	Improved toilet facility	Yes	Yes	Yes	Yes	No Handwashing facility	No open defecation	5 - 6 times	Improved water source
104	Baseline	Married	No	0	0	0	2	1	3	No	Hut	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
105	Baseline	Married	No	0	0	0	2	3	5	No	Concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
106	Baseline	Married	No	0	0	0	0	2	2	No	Timber frame	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
107	Baseline	Married	No	0	0	1	0	2	3	No	Timber frame	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
108	Baseline	Married	No	0	1	4	1	4	10	No	Timber and concrete	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
109	Baseline	Married	No	1	1	0	0	2	4	No	Makeshift shelter	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	Yes	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
110	Baseline	Married	No	1	1	0	0	2	4	No	Timber and concrete	Other source	Yes	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
111	Baseline	Married	No	0	2	1	3	2	8	No	Timber and concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
112	Baseline	Married	No	2	0	0	0	2	4	No	Timber frame	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Unimproved water source
113	Baseline	Married	No	0	0	0	0	3	3	No	Timber frame	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water without Soap	No open defecation	3 - 4 times	Improved water source
114	Baseline	Married	No	2	1	0	0	4	7	No	Concrete	Other source	Yes	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
115	Baseline	Married	No	0	0	0	1	3	4	No	Hut	Other source	Yes	Improved toilet facility	Yes	No	No	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
116	Baseline	Married	No	0	0	1	1	3	5	No	Timber frame	Other source	No	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
117	Baseline	Married	No	0	0	4	0	2	6	No	Timber frame	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	No Handwashing facility	No open defecation	7 times and more	Improved water source
118	Baseline	Married	No	0	1	1	0	2	4	No	Timber frame	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	Yes	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
119	Baseline	Married	No	0	0	0	0	3	3	No	Makeshift shelter	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
120	Baseline	Married	No	0	0	0	0	2	2	No	Timber frame	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
121	Baseline	Married	No	0	0	0	1	1	2	No	Hut	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
122	Baseline	Married	No	0	0	0	0	3	3	No	Timber frame	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	No Handwashing facility	No open defecation	5 - 6 times	Improved water source
123	Baseline	Married	No	0	0	1	0	4	5	No	Timber frame	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
124	Baseline	Married	No	0	0	0	0	1	1	No	Timber and concrete	Other source	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
125	Baseline	Married	No	0	1	0	1	4	6	Yes	Concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
126	Baseline	Married	No	1	0	1	0	2	4	Yes	Timber frame	Other source	Yes	Improved toilet facility	No	Yes	No	Yes	Handwashing facility with Water & Soap	Open defecation	5 - 6 times	Improved water source
127	Baseline	Married	No	0	0	0	0	3	3	No	Timber frame	Other source	Yes	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
128	Baseline	Married	No	1	0	0	0	1	2	No	Timber and concrete	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
129	Baseline	Married	No	0	0	0	0	1	1	No	Timber and concrete	Bottled water	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
130	Baseline	Married	No	0	1	1	1	2	5	No	Timber frame	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	3 - 4 times	Improved water source
131	Baseline	Married	No	0	1	0	2	6	9	No	Makeshift shelter	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	Yes	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
132	Baseline	Married	No	0	0	0	1	3	4	No	Makeshift shelter	Other source	Yes	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	7 times and more	Improved water source
133	Baseline	Married	No	0	0	2	2	2	6	No	Hut	Other source	Yes	Unimproved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	Open defecation	3 - 4 times	Improved water source
134	Baseline	Married	No	0	0	2	0	2	4	No	Timber frame	Other source	Yes	Unimproved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	Open defecation	5 - 6 times	Improved water source
135	Baseline	Married	No	0	0	1	0	4	5	No	Timber and concrete	Bottled water	No	Improved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	No open defecation	7 times and more	Improved water source
136	Baseline	Married	No	0	0	2	0	2	4	No	Hut	Other source	Yes	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
137	Baseline	Married	No	0	1	3	0	2	6	No	Timber frame	Other source	No	Unimproved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	Open defecation	3 - 4 times	Improved water source
138	Baseline	Married	No	0	0	1	0	2	3	No	Timber frame	Other source	Yes	Unimproved toilet facility	No	Yes	No	No	Handwashing facility with Water & Soap	Open defecation	3 - 4 times	Improved water source
139	Baseline	Married	No	1	0	1	2	3	7	No	Timber frame	Other source	No	Unimproved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water & Soap	Open defecation	5 - 6 times	Improved water source
140	Baseline	Married	No	0	0	1	1	5	7	No	Timber frame	Other source	No	Improved toilet facility	Yes	Yes	Yes	No	Handwashing facility with Water without Soap	No open defecation	3 - 4 times	Improved water source
141	Baseline	Married	No	0	1	0	0	2	3	No	Hut	Other source	No	Improved toilet facility	Yes	Yes	Yes	Yes	Handwashing facility with Water & Soap	No open defecation	5 - 6 times	Improved water source
